Código,Título,Resumo,Temário,Modalidade aprovada,Inscrição responsável,Autores
75253,EFFECTS OF ANTIEPILEPTIC DRUGS ON SPREADING DEPRESSION IN THE CHICK RETINA: IMPLICATIONS FOR MIGRAINE PROPHYLAXIS,"In the present study we analize the effects of GABAergic antiepileptic drugs , also used in migrain prophylaxis, on the spreading depression ( SD ) in isolated retina of pintos Gallus. They were studied five drugs with proved effect on the GABAergic transmission modulation : Topiramato, Divalproato, Gabapentina, Lamotrigina and Levetiracetam. We use chicken retinas, kept 30-31°C in superfusion chamber, where a Ringer‘s reference solution, flow at 1.0 - 1.8 ml/min.; The reaction was evoked by mechanical and chemical stimulus, every 15 minutes. They were checked, in this model, the speed (mm/min.), the amplitude (mV), the deflagration threshold (after chemical stimulus with KCl-) and the absolute refractory period (in seconds)of the SD , with and without the drugs use in study. In a second time, they were analized, in models in vivo, the speed parameters and amplitude, also with and without the drugs in study. Complementary, the GABA-T enzyme activity , was determined, with and without the drugs in study. We verify that all the drugs, especially Topiramato, reduce in a manner of, and of reversible form, the speed and amplitude, so much in vitro as in vivo. All the drugs increase, of reversible form, the deflagration threshold for the SD, after chemical stimulus with KCl-, in specific concentrations. It was verified, as well, that all the drugs increase, of reversible form, the absolute refractory period. Topiramato was considered the most effective drug in the context of the proposed parameters . Levetiracetam, despite your mechanism of innovative action, was considered the less effective drug. The enzyme GABA-T presents its activity decreased , in the presence of Topiramato, Divalproato and Gabapentina. These results are important for migrain correct knowledge and treatment.",Cefaleia,Aprovado para Apresentação Oral ,JOÃO BAPTISTA MASCARENHAS DE MORAES NETO,"JOÃO BAPTISTA MASCARENHAS DE MORAES NETO / Neto, J. B. M. d. M. / UNIVERSIDADE FEDERAL DO RIO DE JANEIRO; JeanCcristophe / Houzel,Jean Cristopher / UNIVERSIDADE FEDERAL DO RIO DE JANEIRO; Gilmar da Silva Aleixo / Aleixo, Gilmar. / UNIVERSIDADE FEDERAL DO RIO DE JANEIRO; Carolina Marques de Oliveira / .Oliveira M, Carolina. / UNIVERSIDADE FEDERAL DO RIO DE JANEIRO; Estevão Oliveira da Fonseca / Fonseca, Estevão / UNIVERSIDADE FEDERAL DO RIO DE JANEIRO; Arthur Ferrer Sandres Melo / Melo, Arthur, / UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;"
74727,POSTUROGRAPHY AND MINIBESTEST IN PATIENTS WITH VESTIBULAR DISORDERS AND CEREBELLAR ATAXIA,"Posturography may contribute to evaluation of patients with balance symptoms, but there is some controversy if posturography may diagnose different balance disorders. Further, miniBESTest is a relatively new clinical scale used to evaluate balance and identify risk of fall, but there are only few studies that analyse the results of miniBESTest in vestibular patients. Objective To evaluate balance in patients with vestibular disorders and cerebellar ataxia, using dynamic posturography and miniBESTest Methods Patients with unilateral vestibular lesions (UVL) in subacute phase, bilateral vestibulopathy (BV), central vestibular syndromes (CVS) and cerebellar ataxia (CA) were included. All patients were evaluated using a dynamic posturography (ProBalance Master®, NeuroCom/USA), in four different conditions: condition 1 - eyes open and condition 2 - eyes closed both with fixed support surface, condition 3- eyes open and condition 4 - eyes closed both with unfixed support surface. An equilibrium score is computed detecting the range of the sway angle (relative to earth vertical) in degrees, for each condition and at the end (composite). A score of 100 represents no body sway and 0 represents maximum sway or fall. The MiniBESTest is a 14-item test (total score: 28) and includes anticipatory postural adjustments, postural responses, sensory orientation and stability in gait. Results Forty-seven patients underwent 105 balance evaluations. All patients had abnormal values in dynamic posturography and miniBESTest, and there was a positive correlation between both methods (r=0,56, p<0,0001, Spearman test). Two different patterns were identified in posturography: patients with UVL and BV had normal score in conditions 1 and 2 and abnormal values in conditions 3 and 4, and patients with CVS and CA had abnormal values in all conditions. Further, patients with UVL and BV had different scores in conditions 4 (worse in BV group), and patients with CVS and CA had different scores in conditions 1, 2 and 3 (worse in CA group). Discussion Both, posturography and miniBESTest can be used to evaluate patients with vestibular disorders and cerebellar ataxia. Posturography may show different patterns in different vestibular disorders, and condition 4 may different patients with less severe balance disorders as UVL and BV, and condition 1, 2 and 3 may different patients with more severe balance disorders such as CVS and CA.",Distúrbio Vestibulares e do Equilíbrio,Aprovado para Apresentação Oral ,CRISTIANA BORGES PEREIRA,"Saulo Nardy Nader / Nader, Saulo N / HOSPITAL DAS CLINCIAS FMUSP; Victor Gonçalves Lopes / Lopes VL / HOSPITAL DAS CLINCIAS FMUSP; Emanuelle Roberta da Silva Aquino / Aquino ERS / HOSPITAL DAS CLINCIAS FMUSP; Cristiana Borges Pereira / Pereira CB / HOSPITAL DAS CLINCIAS FMUSP;"
73905,STATIC AND DYNAMIC SUBJECTIVE VERTICAL VISUAL IN STROKE PATIENTS: A NEW METHOD USING VIRTUAL REALITY,"Background: The vertical perception can be assessed by three different modalities: the subjective visual vertical (SVV), the subjective postural vertical and haptic vertical. The SVV is the most studied and frequently described as altered in stroke patients. However, the literature describes different methods to assess SVV and differences among paradigms are little studied, as well as, new paradigms that really reflect real life situations. Therefore, the main objective of this study was compare static and dynamic SVV in a sample of stroke patients and to propose a new dynamic paradigm using virtual reality that simulates a walk and drive a car. Methods: We included patients with ischemic or hemorrhagic stroke confirmed by neuroimage. The protocol assessment was composed by demographic, clinical data, assessment of sensorimotor and vestibular function and SVV evaluation. The SVV was assessed in roll plane, using a new method called 3D Immersive Subjective Visual Vertical (3DISVV). In 3DISVV, a luminous bar of 7 centimeters was projected on a virtual reality oculus in a dark environment (static SVV  SVV2D), and after, associated with a linear optokinetic stimuli (dynamic SVV) with two different velocities, 5km/h (DinSVV5) and 40km/h (DinSVV40). The final result of SVV is the mean of 10 trials and a positive sign indicated an ipsilesional tilt and a negative sign a contralesional tilt. Results: We evaluated 28 patients, mean age of 56.4±12.7 years, median NIHSS 0(0-2), median Rankin score 1(1-2). The mean of SVV2D was -0.80°±4.25°, DinSVV5 was -0.45°±4.08° and DinSVV40 was -1.55°±3.82°. Ten patients had an altered SVV2D (>2.5°), of which, all had hemispheric strokes, 5 had abnormal ipsilesional tilt, less severe, 5.9°±2.9°, comparing with the 5 patients with abnormal contralesional tilt, -7.02°±1.65°. There was no significant difference between static and dynamic SVV (p=0.60). Conclusion: The results of static and dynamic SVV are similar to those described in previous studies with stroke patients. We found 35% of our sample with altered SVV. However, we did not find differences among static and dynamic paradigms. Stroke patients had a visual dependency and consequently, biased judgment of vertical when the visual scene had interferences. Because of that, dynamic paradigms could be a more sensitive method to be used as a screening tool. However, a study with a larger number of participants is needed to better understand the differences among paradigms.",Distúrbio Vestibulares e do Equilíbrio,Aprovado para Apresentação Oral ,Leticia Januzi de Almeida Rocha,"Jussara A. Oliveira Baggio / BAGGIO, J.A.O. / Universidade Federal de Alagoas, Arapiraca, AL, Brasil; Jussara A. Oliveira Baggio / BAGGIO, J.A.O. / Universidade Federal de Alagoas, Arapiraca, AL, Brasil; Letícia Januzi de Almeida Rocha / ROCHA, L.J.A. / Faculdade de Medicina da Universidade Federal de Alagoas, Maceió, AL, Brasil; Arthur de Oliveira Veras / VERAS, A.O. / Faculdade de Medicina da Universidade Federal de Alagoas, Maceió, AL, Brasil; Maria Clara Motta Barbosa Valente / VALENTE. M.C.M.B. / Universidade Estadual de Ciências da Saúde de Alagoas, Maceió, AL, Brasil; Taiza E. Grespan dos Santos / SANTOS, T.E.G. / Departamento de Neurociências e Ciências do Comportamento, Faculdade de Medicina de Ribeirão Preto, Universidade de São Paulo, Ribeirão Preto, SP, Brasil;"
74289,IMPACT OF INFECTIONS AND METABOLIC DISORDERS ON THE OCCURRENCE OF DELIRIUM AFTER STROKE IN PATIENTS ADMITTED TO A SPECIALIZED UNIT,"INTRODUCTION: Delirium is an acute state of altered attention and level of consciousness, secondary to factors such as infections, metabolic disorders and stroke. Between 28 and 40% of patients suffering from stroke develop acute confusional states. In this specific population, advanced age, nosocomial infections, hemorrhagic stroke and dementia are related to a higher frequency of delirium at admission. OBJECTIVES: Evaluate the presence of main factors associated with ocurrence of delirium in hospitalized patients due to stroke. METHODS: Its a prospective cohort with patients hospitalized in a stroke unit with a 30 day after ictus follow-up. The study was performed between november 2017 and june 2018. The research participants must had 18 years or more and had suffered from stroke. Those who were admitted to the unit after 72 hours from the ictus, with pontuation less than -3 on RASS scale, severe aphasia or psychiatric disorders that made it impossible to apply the Confusion Evaluation Scale (CAM) were excluded. The data were analyzed using SPSS v21. RESULTS: 128 patients were admitted. The mean age was 62.5 (±13.5), majority of women (53.1%), brown (39.1%) and 84.2% were ischemic strokes. Among the 128, 41 (32.8%) developed delirium, of which 27 (65.9%) developed infections during hospitalization, with a higher ocurrence of respiratory tract infections (RTI) (34.1%) followed by urinary tract infections (UTI) (12.2%); 23 patients had metabolic disorders (56.1%), with a higher ocurrence of sodium imbalance (29.2%), especially hypernatremia, followed my calcium imbalance (26.8%), especially hypercalcemia, and acute kidney injury (19.5%). A positive association was found between the development of delirium and infection in hospital setting (p<0.001), metabolic disorders (p=0.003), previous use of benzodiazepine (p=0.022) and smoking abstention (p=0.045). As factors that may evolve into confusional states, 24.2% of the patients were chronic alcoholics, 42.7% were smokers, that 28.8% of which were in abstention from tobacco use with an average time of 193 ± 143 months since quitting, and 4% used benzodiazepines. CONCLUSION: In this study, a higher prevalence of RTI was observed in patients with delirium, and it was observed that the development of this clinical situation was associated with the occurrence of infection and metabolic disorders, previous use of benzodiazepines and smoking abstention.","Doença Cerebrovascular, Neurologia Intervencionista e Terapia Intensiva em Neurologia",Aprovado para Apresentação Oral ,LETÍCIA MASCARENHAS DE SOUZA,"Letícia Mascarenhas de Souza / SOUZA, L.M. / FACULDADE DE MEDICINA DA UFBA; Thiago Brito Pinheiro / Pinheiro, TB / UFBA; Pedro Augusto Assis Lopes / Lopes, PA / UFBA; Gabriel Nascimento Silva / Silva, GN / UFBA; Lays Oliveira Carneiro / Carneiro, LO / UFBA; Ivã Taiuan Fialho Silva / Silva, IT / UFBA; Beatriz Kelly Oliveira Silva / Silva, BK / UFBA; Caroline Ciriaco Cerqueira Cunha / Cunha, CC / HGRS; João Pedro Bastos de Santana / Santana, JP / UFBA; Pedro Antonio Pereira de Jesus / Jesus, PA / HGRS;"
74104,IS A MINOR ISCHEMIC STROKE REALLY MILD? A CASE-CONTROL STUDY,"Background: Patients with minor ischemic stroke (MIS) are assumed to achieve full recovery with little or no intervention. However, such patients may experience persistent disability and deficits that may be completely under diagnosed. Objective: Assess the proportion of patients who suffered a minor ischemic stroke with impaired HRQOL, HADS, and FSS comparing to healthy subjects. Identify possible predictors of impaired clinical outcomes using logistic regression. Methods: We recruited 356 consecutive patients with MIS who had initial NIHSS score < 6, modified Rankin Scale (mRS) score of 0 or 1 at baseline and 3-month follow-up. The neurologist who previously classified the stroke as mild was blind to this study. Health-related quality of life (HRQOL), hospital anxiety and depression scale (HADS) and fatigue severity scale (FSS) were prospectively recorded. The same scales were applied to 100 healthy controls. Statistical analysis was performed using logistic regression and multivariate analysis. Results: Among the 356 patients who met study criteria, 48.6 % were male and the mean age was 61.2 years. Any HRQOL impairment was noted in 234 patients (65.7%). Depression and fatigue was present in 149 (41.9%) and 199 (55.9%), respectively. Fatigue, depression and anxiety were independently associated with a worse HRQOL (p<0.01). Prevalence of post-stroke anxiety, depression and fatigue were significantly higher compared with the control group (p<0.05). In multivariate analysis, age, initial NIHSS, socio-demographic characteristics and female gender were independent predictors of mood disorders and poor HRQOL (p<0.05). Conclusions: HRQOL, FSS and HADS impairment are common in MIS. Quality of life, mood disorders and fatigue may play an important role in the evaluation of patients with minor ischemic stroke. This study suggests that it is imperative that clinicians investigate these parameters in MIS population.","Doença Cerebrovascular, Neurologia Intervencionista e Terapia Intensiva em Neurologia",Aprovado para Apresentação Oral ,BRUNO KUSZNIR VITTURI,"Bruno Kusznir Vitturi / Vitturi, B. K. / Faculdade de Ciências Médicas da Santa Casa de São Paulo; Rubens José Gagliardi / Gagliardi, R.J. / Faculdade de Ciências Médicas da Santa Casa de São Paulo;"
72592,LARGE-SCALE BRAIN NETWORKS CONNECTIVITY AND NEUROCOGNITIVE PERFORMANCE IMPAIRMENT IN STROKE-FREE PATIENTS WITH ATRIAL FIBRILLATION,"Background: Atrial fibrillation (AF) is a risk factor for dementia independently of the presence of stroke. Cerebral damage such as grey matter atrophy may be associated with dementia in AF. No previous study has evaluated large-scale brain networks and cognitive performance in stroke-free patients with AF. Objective: To evaluate large-scale brain networks and cognitive performance in stroke-free patients with AF. Design: Twelve subjects with AF and no evidence of stroke or dementia acquired structural and functional 3-Tesla MRI. Subjects were submitted to clinical, physical and laboratorial examination and a wide battery of neuropsychological evaluation accessing executive function, memory, constructional praxia, language, speed of processing and visuoconstructive skills. Patients were compared to 12 controls with no history of dementia or stroke and matched for age, sex and cardiovascular risk factors (CHA2DS2-VASc score). Twelve brain networks (anterior and posterior salience, language, right and left executive-control (EC), auditory, visual, visuospatial, basal ganglia, ventral and dorsal default mode (DMN) and sensorimotor), were evaluated in first and second level analysis to access inter (between different networks) and intra (within a specific network) connectivity. Statistical analysis was performed with UF2C and SPM12 softwares (ANCOVA, p<0.001, covariated for age, sex, heart failure and hypertension). T-test was used to evaluate cognitive performance. Results: We found no statistical difference between AF and controls regarding sex, age or CHA2DS2VASc-score. AF had higher frequency of heart failure (p=0.037). There was significant difference in executive function and attention performance in AF group (Rey complex figure copy, p=0.006; Rey complex figure evocation p=0.04; trail-making test B, p=0.037). Compared with controls, we found decreased intra-network connectivity in language network. Inter-network connectivity was decreased between posterior salience versus right EC and auditory networks and it was increased between DMN versus sensoriomotor, visuospatial and posterior and anterior salience networks. We found inversion of the pattern of connectivity in posterior DMN, visual, language, auditory, sensoriomotor and right and left EC networks. Conclusions: Patients with AF without stroke or dementia have diffuse intra and inter-brain networks abnormal connectivity as well as reduced cognitive performance in executive and attention functions.","Doença Cerebrovascular, Neurologia Intervencionista e Terapia Intensiva em Neurologia",Aprovado para Apresentação Oral ,DANILO DOS SANTOS SILVA,Danilo dos Santos Silva / Silva DS / Universidade Estadual de Campinas-UNICAMP; Bruna Gonçalves Caseli / Caseli BG / Universidade Estadual de Campinas-UNICAMP; Wagner Mauad Avelar / Avelar WM / Universidade Estadual de Campinas-UNICAMP; Brunno Machado de Campos / Campos BM / Universidade Estadual de Campinas-UNICAMP; Ana Paula Beppler Lazaro Lino / Lino APBL / Universidade Estadual de Campinas-UNICAMP; Marcio Luiz Figueredo Balthazar / Balthazar MLF / Universidade Estadual de Campinas-UNICAMP; Marcio Jansen de Oliveira Figueiredo / Figueiredo MJO / Universidade Estadual de Campinas-UNICAMP; Luiz Fernando Longuim Pegoraro / Pegoraro LFL / Universidade Estadual de Campinas-UNICAMP; Fernando Cendes / Cendes F / Universidade Estadual de Campinas-UNICAMP; Ana Carolina Coan / Coan AC / Universidade Estadual de Campinas-UNICAMP;
74737,PREDICTORS OF LOW COMPLEXITY EMERGENCY CARE UNITS (UPA 24H) UTILIZATION BY PATIENTS WITH STROKE SYMPTOMS.,"INTRODUCTION: In acute stroke, early symptoms identification and rapid transport to a stroke center can define treatment and prognosis. In the last decade, hundreds of low complexity Emergency Care Units (UPA 24h) were launched in Brazil. Distributed throughout the city, the UPA 24h, are designed to provide care for patients with acute diseases. In Fortaleza, Ceará, although there is a well-organized comprehensive stroke center, UPA 24h are the second institutions most sought by patients with stroke symptoms what is associated with up to 50% decrease in ischemic stroke thrombolysis rate. OBJECTIVE: This study aimed to evaluate predictors of seeking care for acute stroke in UPA 24h besides home proximity. METHODS: Data were prospectively collected from consecutive patients admitted to 31 hospitals in Fortaleza with acute stroke from February 3 to December 31, 2014. We traced all pathways since symptom onset to hospital arrival. RESULTS: A total of 3,052 patients (mean age, 66.1 ±15.6 years; 51% men) were evaluated. Ischemic stroke was the most frequent stroke subtype (70%) followed by intraparenchymal hemorrhage (18%), subarachnoid hemorrhage (9%), and undetermined stroke (3%). Of the 2,362 patients from Fortaleza, 33% went straight to Hospital Geral de Fortaleza, our stroke center, 27% went to the UPA 24h, 18% went to private hospitals and 22% went to other institutions. Patients who typically sought UPA 24h were younger (< 50 y) (OR 1.36; 95% CI, 1.01 - 1.83; P = 0,04); had low educational levels (0R 1.53; 95% CI, 1.06 - 2.23; P=0,03); did not call EMS (OR 1.76; 95% CI, 1.32 - 2.38; P <0,001); had headache at onset (OR 1.33; 95% CI, 1.06 - 1.67; P = 0,01), had no speech deficits (OR 1.50; 95% CI, 1.16 - 1.94; P = 0,002) and were transported by their own means (OR 2.35; 95% CI, 1.59 - 3.56; P < 0,001). When adjusted for the HDI and stroke type, being a female (OR 1.34; 95% CI, 1.03 - 1.76; P = 0,03), not calling EMS (OR 2.27; 95% CI, 1.58 - 3.30; P < 0,001), having headache at onset (OR 1.37; 95% CI, 1.02 - 1.85; P = 0,04) and being transported by their own means (OR 3.06; 95% CI, 1.90 - 5.08; P < 0,001) were independent predictors of UPA 24h utilization. CONCLUSION: Our original data suggest that age, educational level, sex, headache at onset, no speech deficits and prehospital transportation are predictors of UPA 24h utilization in the acute stroke care setting. This information can guide effective public health policies to improve acute stroke care.","Doença Cerebrovascular, Neurologia Intervencionista e Terapia Intensiva em Neurologia",Aprovado para Apresentação Oral ,JOAO JOSE FREITAS DE CARVALHO,"JOAO JOSE FREITAS DE CARVALHO / de Carvalho, J.J.F. / HOSPITAL GERAL DE FORTALEZA; JOÃO JOSÉ FREITAS DE CARVALHO / de Carvalho, J.J.F / Hospital Geral de Fortaleza; GISELE SAMPAIO SILVA / Silva, G.S. / Hospital Israelita Albert Einstein; PEDRO BRAGA NETO / Braga Neto, P. / Hospital Geral de Fortaleza; FABRICIO OLIVEIRA LIMA / Lima, F.O. / Hospital Geral de Fortaleza; RENATA CAROLINA ACRI NUNES MIRANDA / Miranda, R.C.A.N. / Hospital Israelita Albert Einstein; BENTO FORTUNATO CARDOSO DOS SANTOS / Santos, B.F.C. / Hospital Israelita Albert Einstein; MARINA ROCHA ROLIM / Rolim, M.R. / Universidade Estadual do Ceará; BRUNO LIMAVERDE VILAR LOBO / Lobo, B.L.V. / Universidade Estadual do Ceará; GABRIEL PINHEIRO MARTINS DE ALMEIDA E SOUZA / Souza, G.P.M.A. / Universidade Estadual do Ceará;"
73594,READMISSION AFTER STROKE/TIA IN A JOINT COMMISSION STROKE CERTIFIED CENTER,"Introduction: Stroke is a high contributor to health system costs in Brazil1. Stroke survivors are in risk of new stroke or new hospital admission2. Transient ischemic attack (TIA) is an important risk factor for stroke, but is also risk factor for cardiac death3. Thus, survivors after Stroke and TIA could be readmitted in hospital. Understand causes of hospital readmission after TIA/Stroke may guide health system to adopt preventive actions avoiding new hospitalization. Purpose: verify readmission causes in Stroke/TIA patients checking preventable causes. Methods: We performed medical records random search in alive discharged Stroke/TIA patients between 2014 and 2016, in a Joint Commission Stroke certified center. We used TOAST classification to define stroke/TIA etiology4; collected clinical aspects of stroke population and reasons and dates for all new readmissions. Readmissions for elective carotid intervention or cranioplasty were not computed. Patients in palliative care were excluded. Preventable readmissions were defined according to the AHRQ Prevention Quality Indicators (PQIs)5. Results: We collected 131 patients´ data, 62 (47%) were women. We had 39 (30%) patients readmitted, in a total of 83 readmissions. Main Stroke etiology in readmitted patients was: 30 ischemic stroke, 7 TIA, 2 hemorrhagic stroke. The average between first admission and readmission was 6,1 months (SD 5,24). Ischemic stroke was cause of rehospitalization in 9 (7%) patients. Cardioembolism was first stroke reason in 6 patients that were readmitted, large vessel disease in one, and indeterminate cause in one. Anticoagulation adjustment was major action after ischemic stroke recurrence. One patient died after new stroke. Hemorrhagic stroke accounts for two rehospitalizations. Ten patients (7,6%) went in hospital because of preventable causes, according to PQIs. Two died because infective complications. Other important causes of readmissions were: TIA (9), seizures (5), warfarin intoxication (3), syncope (3), cranioplasty complications (2), other vascular causes (3). Conclusions: Readmission after stroke is very common and could happen in few months after hospital discharge. We found that the most important causes of recurrence of ischemic stroke are cardiac disease. Preventable readmissions after strokes according to PQI could lead to death. More studies are need to enlarge patients samples, and confirm consistence of those results.","Doença Cerebrovascular, Neurologia Intervencionista e Terapia Intensiva em Neurologia",Aprovado para Apresentação Oral ,TARSILA ANTUNES BRONER ROCHA,"LUCIANO MAGALHÃES MELO / MELO, L. M. / PARTICULAR; TARSILA ANTUNES BRONER ROCHA / BRONER, T.A. / PARTICULAR;"
75174,VOXEL BASED MORPHOMETRY IN POST-STROKE EPILEPSY REVEALS LIMBIC ATROPHY,"Introduction Seizures after stroke are very common, with an incidence around 10% and higher prevalence in hemorrhagic rather than in ischemic stroke (10-20% versus2-14%). In individuals older than 65 years, post-stroke epilepsy (PSE) seems to account for almost 50% of all new-onset seizures. Unfortunately, the etiopathology of PSE is still unclear despite the negative impact on quality of life, anxiety level and worse recovery. Objective We evaluated the grey matter atrophy (GMA) (unrelated to ischemic lesions) of twenty-six patients with PSE comparing to thirty controls (free of seizures) using Voxel-Based Morphometry (VBM). Method Patients (n=26; 61 ± 16 years) and controls (n=30; 60± 11 years) were balanced in terms of age (p= 0.5) and sex (p=0.4). All subjects underwent 3T MRI scans with 3D- T1 weighted images. VBM was performed with SPM12/CAT12 (http://www.fil.ion.ucl.ac.uk) including steps of preprocessing (realignment, spatial normalization, tissue segmentation), running on Matlab2014. Statistical analyses with T-tests were performed with SPM12 to investigate patterns of GMA compared to controls. Significance was determined with p<0.05, adjusted with Bonferroni for multiple comparisons. Clinical information was analyzed with SPSS23. Results Late-onset PSE (seizures started after one week of stroke)occurred in 65% (n=17), with an average time of 1.4 years between stroke and the first seizure. Most of patients presented large vessels occlusions with cortico-subcortical lesions 84% (n=22) with theremaining 16% (n=4) showing lacunar lesions (small vessels disease). After adjusting for multiple comparisons, GMA was identified in the cerebellum (right: 4459 voxels, left: 2334 voxels), parahippocampal gyrus (1502 voxels), thalamus (1204 voxels) and hippocampus (955 voxels). All clusters presented p<0.05 Conclusion In this preliminary analysis, we identified limbic atrophy in subjects with PSE (combining lacunar and large vessels occlusions). While some studies report cortical lesions with a major risk of PSE, other show evidence that subcortical lesions may be involved in disruption of connecting fiber tracts which lead to degenerative alterations in the cortex.Further investigation with neuroimage resources may help to find biomarkers for epileptogenesisafter stroke, helping to predict patients likely to develop PSE.","Doença Cerebrovascular, Neurologia Intervencionista e Terapia Intensiva em Neurologia",Aprovado para Apresentação Oral ,MARILISE KATSURAYAMA,"MARILISE KATSURAYAMA / Katsurayama, M. / UNICAMP; Marilise Katsurayama / Katsurayama, M / UNICAMP; Marina Koutsodontis M. Alvim / Alvim, M. K. M. / UNICAMP; José Carlos Vasques Moreira / Moreira, J. C. V. M. / UNICAMP; Alessandro Augusto Viana Oliveira e Sousa / Sousa, A. A. V. O. / UNICAMP; Wagner Mauad Avelar / Avelar, W. M. / UNICAMP; Iscia Lopes Cendes / Lopes-Cendes, I. / UNICAMP; Fernando Cendes / Cendes, F. / UNICAMP; Clarissa Lin Yasuda / Yasuda, C. L. / UNICAMP;"
75160,WAKE-UP STROKE: EVALUATION OF STROKE SUBTYPES AND RISK FACTORS,"Introduction: Stroke is a leading cause of mortality and disability in many countries. Wake-up stroke (WUS), patients wake from sleep with a neurological vascular deficit, represents a large number of patients with stroke (near 25%). Since NINDS and ECASS, the knowledge of time of symptoms onset became an important information for stroke-neurologist. The use of rt-PA in acute ischemic strokes is a widespread clinical practice; and more recently the new techniques for acute treatment of stroke have been shown to be superior to the gold standard treatment that we have available. Objective: The aim of this study is describe the prevalence of WUS and what are the most common stroke subtypes and risk factors in patients with WUS in comparison with the other patients with stroke. Methods: We analyzed data from 1129 patients with acute ischemic stroke admitted to São Lucas Hospital between April/2014 and April/2018. We analyzed the prevalence of the most important stroke risk factors in each stroke subtype, including age, sex, diabetes, hypertension, smoking and dyslipidemia. Hypertension was defined as receipt of antihypertensive therapy or 2 measurements of systolic pressure >140 mm Hg and/or diastolic pressure >90 mm Hg. Diabetes mellitus was defined as a history of elevated serum glucose level (>100 mg/dL) on 2 independent readings before stroke or receipt of antidiabetes medication. Dyslipidemia was defined as a history of total cholesterol >200 mg/dL or triglycerides >200 mg/dL or receipt of lipid-lowering medication. Ischemic strokes were classified into the following categories according to TOAST classification. Results: Evaluating 1129 patients with mean age of 68.9 years old (51.3% male), we identified 337 (29.8%) patients with WUS. In this group the most common stroke subtype was large artery atherosclerosis (n:93  27.5%) following by cardiombolism (n:89  26.4%). The most common risk factors in this group were hypertension (83.1%), dylispidemia (50.9%), smoking (17.4%) and diabetes (14.7%). Conclusion: The knowlodge of stroke subtypes and risk factors in patients with WUS is important to define the best strategy of secondary stroke prevention. In our serie large artery atherosclerosis was the main cause of WUS.","Doença Cerebrovascular, Neurologia Intervencionista e Terapia Intensiva em Neurologia",Aprovado para Apresentação Oral ,MÁRCIO SEVERO GARCIA,"MÁRCIO SEVERO GARCIA / Garcia, M. S. / HOSPITAL SÃO LUCAS DA PUC-RS; Márcio Severo Garcia / Garcia, M.S. / HOSPITAL SÃO LUCAS DA PUC-RS; Luiz Carlos Porcello Marrone / Marrone, L.C. / HOSPITAL SÃO LUCAS DA PUC-RS; Antônio Carlos Huff Marrone / Marrone, A.C.H. / HOSPITAL SÃO LUCAS DA PUC-RS;"
